submission_date,state,state_name,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
8/8/22,RMI,RMI,76,76,0,6,0,0,0,0,0,0,8/9/22 13:12,Agree,Agree
8/8/22,KS,Kansas,841542,629231,212311,0,0,8970,,,0,0,8/9/22 13:12,Agree,N/A
8/8/22,HI,Hawaii,321378,,,0,0,1580,,,0,0,8/9/22 13:12,Not agree,Not agree
8/8/22,AK,Alaska,273674,,,0,0,1275,,,0,0,8/9/22 13:12,N/A,N/A
8/8/22,WV,West Virginia,563384,438504,124880,2109,756,7188,,,4,0,8/9/22 13:12,Agree,Not agree
8/8/22,NY,New York,3109238,,,1634,0,28587,,,8,0,8/9/22 13:12,Not agree,Not agree
8/8/22,NM,New Mexico,598395,,,1796,0,8288,,,6,0,8/9/22 13:12,N/A,Not agree
8/8/22,WA,Washington,1748594,,,0,0,13725,,,0,0,8/9/22 13:12,N/A,N/A
8/8/22,CO,Colorado,1608623,1457093,151530,2565,182,13053,11506,1547,16,4,8/9/22 13:12,Agree,Agree
8/8/22,AR,Arkansas,911249,,,441,0,11764,,,1,0,8/9/22 13:12,Not agree,Not agree
8/8/22,MS,Mississippi,886062,479999,406063,2597,1342,12695,8356,4339,11,4,8/9/22 13:12,Agree,Agree
8/8/22,PW,Palau,5308,,,0,0,6,,,0,0,8/9/22 13:12,,
8/8/22,SD,South Dakota,251860,,,0,0,2963,2963,0,0,0,8/9/22 13:12,N/A,Agree
8/8/22,OH,Ohio,2976027,2275850,700177,0,0,39133,39133,0,0,0,8/9/22 13:12,Agree,Agree
8/8/22,TN,Tennessee,2225377,1666895,558482,1046,292,27125,19678,7447,7,1,8/7/22 0:00,Agree,Agree
8/8/22,MO,Missouri,1578508,,,0,0,21032,,,0,0,8/9/22 13:12,Not agree,Not agree
8/8/22,KY,Kentucky,1490393,1014761,475632,3531,971,16485,14165,2320,21,6,8/9/22 13:12,Agree,Agree
8/8/22,VA,Virginia,1984528,1411454,573074,6631,2276,21085,17560,3525,10,-2,8/9/22 13:12,Agree,Agree
8/8/22,WI,Wisconsin,1795145,1580857,214288,4267,373,14950,13240,1710,4,2,8/9/22 13:12,Agree,Agree
8/8/22,MT,Montana,298746,228736,70010,0,0,3481,3481,0,0,0,8/9/22 13:12,Agree,Agree
8/8/22,NE,Nebraska,521060,364509,156551,1476,477,4373,3494,879,3,2,8/9/22 13:12,Agree,Agree
8/8/22,NH,New Hampshire,340241,,,729,0,2635,,,2,0,8/9/22 13:12,Not agree,Not agree
8/8/22,MN,Minnesota,1601006,,,0,0,13320,12978,342,0,0,8/9/22 13:12,N/A,Agree
8/8/22,VI,Virgin Islands,22016,,,59,0,122,,,1,0,8/9/22 13:12,,
8/8/22,NC,North Carolina,3022204,2508696,513508,0,0,25692,22368,3324,0,0,8/9/22 13:12,Agree,Agree
8/8/22,ID,Idaho,482245,373761,108484,683,207,5056,4111,945,3,0,8/9/22 13:12,Agree,Agree
8/8/22,RI,Rhode Island,392368,,,0,0,3632,,,0,0,8/9/22 13:12,Not agree,N/A
8/8/22,CA,California,10796918,10024326,772592,0,0,93056,,,0,0,8/9/22 13:12,Agree,Not agree
8/8/22,DC,District of Columbia,163915,,,358,0,1369,,,0,0,8/9/22 13:12,,
8/8/22,NJ,New Jersey,2621249,2233556,387693,1200,275,34343,31243,3100,6,4,8/9/22 13:12,Agree,Agree
8/8/22,CT,Connecticut,860321,770112,90209,346,-3,11139,9105,2034,0,0,8/9/22 13:12,Agree,Agree
8/8/22,DE,Delaware,296992,270068,26924,802,63,3026,2718,308,0,0,8/9/22 13:12,Agree,Agree
8/8/22,MD,Maryland,1191962,,,0,0,15015,14746,269,0,0,8/9/22 13:12,N/A,Agree
8/8/22,WY,Wyoming,171322,134327,36995,0,0,1856,1856,0,0,0,8/9/22 13:12,Agree,Agree
8/8/22,VT,Vermont,128726,,,359,39,666,,,6,2,8/9/22 13:12,Not agree,Not agree
8/8/22,AZ,Arizona,2211463,1942097,269366,0,0,30842,26832,4010,0,0,8/9/22 13:12,Agree,Agree
8/8/22,OR,Oregon,860734,860734,0,1938,0,8219,8219,0,8,0,8/9/22 13:12,Agree,Agree
8/8/22,MI,Michigan,2692485,2335897,356588,0,0,37534,34340,3194,0,0,8/9/22 13:12,Agree,Agree
8/8/22,ME,Maine,277925,200439,77486,466,106,2493,2205,288,0,0,8/9/22 13:12,Agree,Agree
8/8/22,FSM,Federated States of Micronesia,6850,6850,0,117,0,16,16,0,0,0,8/9/22 13:12,Agree,Agree
8/8/22,IL,Illinois,3604149,3604149,0,9734,0,38984,34432,4552,18,2,8/9/22 13:12,Agree,Agree
8/8/22,LA,Louisiana,1392517,,,3053,651,17641,14968,2673,8,2,8/9/22 13:12,Not agree,Agree
8/8/22,SC,South Carolina,1637108,1270397,366711,1220,105,18215,,,0,0,8/9/22 13:12,Agree,Not agree
8/8/22,NV,Nevada,832229,768202,64027,0,0,11262,,,0,0,8/9/22 13:12,Agree,
8/8/22,AL,Alabama,1445283,1030757,414526,2735,1237,20008,15325,4683,14,4,8/9/22 13:12,Agree,Agree
8/8/22,UT,Utah,1015442,1015442,0,0,0,4928,4663,265,0,0,8/9/22 13:12,Agree,Agree
8/8/22,FL,Florida,6884224,,,8285,3300,78251,,,0,0,8/8/22 0:00,Not agree,Not agree
8/8/22,GA,Georgia,2778580,2146655,631925,0,0,39173,32488,6685,0,0,8/9/22 13:12,Agree,Agree
8/8/22,OK,Oklahoma,1140513,820888,319625,3239,1039,14593,10263,4330,0,0,8/9/22 13:12,Agree,Agree
8/8/22,PA,Pennsylvania,3119129,2574430,544699,6801,713,46315,,,17,16,8/9/22 13:12,Agree,Not agree
8/8/22,MP,Military Police Corps,12866,12866,0,134,0,38,38,0,0,0,8/9/22 13:12,Agree,Agree
8/8/22,AS,American Samoa,7952,,,0,0,33,,,0,0,8/9/22 13:12,,
8/8/22,GU,Guam,56226,,,109,25,384,,,1,0,8/9/22 13:12,Not agree,Not agree
8/8/22,PR,Puerto Rico,875939,391215,484724,1696,1177,4812,3929,883,0,0,8/9/22 13:12,Agree,Agree
8/8/22,NYC,New York City,2758072,2333609,424463,1961,416,41258,35665,5593,28,3,8/9/22 13:12,Agree,Agree
8/8/22,IA,Iowa,826445,,,1630,474,9817,,,0,0,8/9/22 13:12,Not agree,Not agree
8/8/22,TX,Texas,7534525,,,25639,6847,87946,,,73,0,8/9/22 13:12,Not agree,Not agree
8/8/22,ND,North Dakota,259741,192548,67193,471,164,2325,,,0,0,8/9/22 13:12,Agree,Not agree
8/8/22,IN,Indiana,1847824,,,4202,0,24189,23186,1003,5,1,8/9/22 13:12,Not agree,Agree
8/8/22,MA,Massachusetts,1977503,1813037,164466,0,0,21224,19939,1285,0,0,8/9/22 13:12,Agree,Agree